brand,product,url,description,imgSrc,imgAlt,name,colorspace,hex,Hue,Saturation,Value
W3LL PEOPLE,Bio Base Pressed Foundation,https://www.ulta.com/bio-base-pressed-foundation?productId=pimprod2008579,Fair Golden (fair skin w/ neutral or golden undertones)  selected,https://images.ulta.com/is/image/Ulta/2553261sw?$tn$,Fair Golden (fair skin w/ neutral or golden undertones),Fair Golden,RGB,#F1E0DA,11,24,0.9450980392156862
W3LL PEOPLE,Bio Base Pressed Foundation,https://www.ulta.com/bio-base-pressed-foundation?productId=pimprod2008579,Fair Pink (fair skin w/ neutral or pink undertones),https://images.ulta.com/is/image/Ulta/2553259sw?$50px$,Fair Pink (fair skin w/ neutral or pink undertones),Fair Pink,RGB,#F7EAE5,11,18,0.9686274509803922
W3LL PEOPLE,Bio Base Pressed Foundation,https://www.ulta.com/bio-base-pressed-foundation?productId=pimprod2008579,Medium Golden (medium skin w/ golden undertones),https://images.ulta.com/is/image/Ulta/2553296sw?$50px$,Medium Golden (medium skin w/ golden undertones),Medium Golden,RGB,#F8E2D7,14,33,0.9725490196078432
W3LL PEOPLE,Bio Base Pressed Foundation,https://www.ulta.com/bio-base-pressed-foundation?productId=pimprod2008579,Medium Neutral (medium skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2553262sw?$50px$,Medium Neutral (medium skin w/ neutral undertones),Medium Neutral,RGB,#F3DCD3,11,33,0.9529411764705882
W3LL PEOPLE,Bio Base Pressed Foundation,https://www.ulta.com/bio-base-pressed-foundation?productId=pimprod2008579,Dark Neutral (medium dark skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2553265sw?$50px$,Dark Neutral (medium dark skin w/ neutral undertones),Dark Neutral,RGB,#EFC9B7,13,59,0.9372549019607844
W3LL PEOPLE,Bio Base Pressed Foundation,https://www.ulta.com/bio-base-pressed-foundation?productId=pimprod2008579,Tan (tan skin w/ neutral undertones),https://images.ulta.com/is/image/Ulta/2553264sw?$50px$,Tan (tan skin w/ neutral undertones),Tan,RGB,#DDA389,13,96,0.8666666666666667
