file,hsv_mean_h,hsv_mean_s,hsv_mean_v
datasets/gan/images/WGW6R7HsAmVjKm4OBx2Mnt5vRyU9d8LD.jpeg,110.78071338488995,142.32116121356336,177.559747769185
datasets/gan/images/ZldEm8THV0ymNCJBRPQt5HySMqNEIfXe.jpeg,107.84780297441999,84.15997715645449,180.84139060083282
datasets/gan/images/v0ELxB4SSJkEpEMNog0LjcKNF5jNrcEm.jpeg,113.20540916121357,68.47723212373587,205.0421539559786
datasets/gan/images/w8xbbrbanq4Q97wN90ciVjOtlcI8kJFb.jpeg,115.67385698988697,81.46716097560976,183.43918239143366
datasets/gan/images/oWCWw5UBrz1KCDsRQw4BrGcYOYtzyZez.jpeg,110.38368685306365,127.03348197501487,139.37346817370613
datasets/gan/images/XSXnYhEyNmdDWTuyqL2swq3P4TR4JZqf.jpeg,110.26871243307555,145.30654324806662,166.06311005353956
datasets/gan/images/Ttm9ycMyYBqeZoxLhVxE8Ye0599EI36X.jpeg,109.33317882212968,95.35733587150506,151.30802903033907
datasets/gan/images/jQA8MIJR2gECCqhLOFIOjnkafjK6LL7j.jpeg,110.04479333729923,131.59824104699584,173.39166876859014
datasets/gan/images/WW0syjDZKJiI7OzNNDMfGO7zzhJWQyTH.jpeg,114.10194503271862,65.86056204640096,192.31346674598453
datasets/gan/images/pcbns6pkBK6EJJjEss8qC8WDS1rgwzRG.jpeg,113.79330779298037,54.0541011302796,175.47335919095775
datasets/gan/images/9fOcz4Nxn7lT674M30GeedXGWhqKCicw.jpeg,111.64396049970256,109.35149553837002,203.0179750148721
datasets/gan/images/QrETbtJQ6MHcIhDDKLWkidlPETz721ym.jpeg,114.58832885187388,73.35599762046401,151.0965777513385
datasets/gan/images/2qVjzb3sc1EpoWI7DIWCIOxIvivKbD4t.jpeg,115.73263533610945,83.68930208209399,157.65706412849494
datasets/gan/images/7sNC83upN8F2D8GJ9RFW75TkEJMWcsYm.jpeg,108.26688494943485,102.04335419393219,198.4640970850684
datasets/gan/images/rpzC6EODt42xoT0NzVUjcDslIRpuxfdq.jpeg,114.59238262938727,70.12596787626413,169.24186174895894
datasets/gan/images/4UpslShXYkWCaa78pvWBvRgP7thOaocz.jpeg,115.0953023200476,72.80316954193933,209.98916454491373
datasets/gan/images/jNsEO4GRsVKz0D4gZhaDfIBMqj2HVXmP.jpeg,119.54724092801904,51.67736061867936,208.33019298036882
datasets/gan/images/zROyNQww6HUjcOLwL0n1XRB3qDiDvocm.jpeg,112.96562807852469,89.82262653182629,156.63501725163593
datasets/gan/images/RleDksaH6IIovPpRTOtb9n9OG8W5624e.jpeg,110.95701035098156,83.64697965496728,182.416600594884
datasets/gan/images/phAYlbTL3KhRnO10P8jkRMztg18jWSgj.jpeg,117.56579559785841,73.81816157049376,138.09738584176085
